,Category,Sub-Category,Number_of_Products
518,Mixed Reality,Windows Mixed Reality,3
519,Gaming PCs,Desktops,19
520,Gaming PCs,Graphics & Multimedia,1
521,Gaming Laptops ,Laptops,30
522,Components,Graphics & Multimedia,1
523,Components,Graphics Cards,2
524,Components,Hardware,16
525,Components,RAM,1
526,Gaming Monitors ,LCD Monitors,2
527,Gaming Monitors ,LED Monitors,6
528,Gaming Monitors ,QLED Monitors,1
529,Gaming Keyboards ,Gaming Bundles,2
530,Gaming Keyboards ,Keyboards,16
531,Gaming Mice,Corded Mice,14
532,Gaming Mice,Gaming Bundles,2
533,Gaming Mice,Wireless Mice,5
534,TV Mounts & Brackets,Braces & Supports,1
535,TV Mounts & Brackets,Brackets & Mounts,29
536,TV Mounts & Brackets,Mounts,24
537,TV Mounts & Brackets,Stands,17
538,TV Mounts & Brackets,Tripods,1
539,TV Mounts & Brackets,Wall Mount,1
540,Antennas & Amplifiers,Antennas,10
541,Antennas & Amplifiers,Wireless AV Transmitter/Receiver,4
542,Power & Surge Protectors,Batteries,14
543,Power & Surge Protectors,Powerboards,2
544,Power & Surge Protectors,Surge Protectors,6
545,Universal and Replacement remotes ,Accessories,1
546,Universal and Replacement remotes ,Remote Control Holder,2
547,Universal and Replacement remotes ,Remote Controls,17
548,TV Furniture,Accessories,4
549,TV Furniture,Entertainment Units,25
550,TV Furniture,Stands,2
551,Home Theatre Systems,Entertainment Packages,1
552,Home Theatre Systems,Home Theatre Systems,2
553,Home Theatre Systems,Speaker Systems,2
554,AV Receivers,AV Receivers,9
555,AV Receivers,Entertainment Packages,1
556,Speakers,Home Theatre Systems,2
557,Speakers,Portable Bluetooth Speakers,1
558,Speakers,Soundbars,1
559,Speakers,Speaker Systems,20
560,Speakers,Wireless Multiroom Systems,5
561,Soundbars,Home Theatre Systems,1
562,Soundbars,Soundbars,43
563,Soundbars,Wireless Multiroom Systems,1
564,PVRs & Media Players,Apple TV,3
565,PVRs & Media Players,Fetch,2
566,PVRs & Media Players,Media Players,4
567,PVRs & Media Players,PVRs,3
568,PVRs & Media Players,Set Top Box,3
569,Blu-ray Players & Recorders,Blu-ray Players,13
570,Blu-ray Players & Recorders,Blu-ray Recorders,2
571,Blu-ray Players & Recorders,PVRs,1
572,DVD Players & Recorders,DVD Players,5
573,DVD Players & Recorders,Portable DVD Players,1
574,Wireless Multiroom,Amplifiers,3
575,Wireless Multiroom,Micro Hi-Fi Systems,1
576,Wireless Multiroom,Monitor Speakers,2
577,Wireless Multiroom,Soundbars,2
578,Wireless Multiroom,Speaker Systems,2
579,Wireless Multiroom,Wireless Adapters,2
580,Wireless Multiroom,Wireless Multiroom Systems,28
581,DVD Movies,DVDs,35
582,Blu-ray Movies,Blu-ray Discs,11
583,Blu-ray Movies,Ultra HD Blu-ray Disc,14
584,32 inch and under TVs,LCD Monitors,1
585,32 inch and under TVs,LED LCD TVs,9
586,32 inch and under TVs,LED Monitors,1
587,39 - 50 inch TVs,LED LCD TVs,17
588,39 - 50 inch TVs,QLED LCD TVs,1
589,55 - 60 inch TVs,LED LCD TVs,20
590,55 - 60 inch TVs,OLED TVs,4
591,55 - 60 inch TVs,QLED LCD TVs,4
592,65 - 70 inch TVs,LED LCD TVs,25
593,65 - 70 inch TVs,OLED TVs,5
594,65 - 70 inch TVs,QLED LCD TVs,6
595,75 inch and over TVs,LED LCD TVs,15
596,75 inch and over TVs,OLED TVs,1
597,75 inch and over TVs,QLED LCD TVs,7
598,All TVs,LED LCD TVs,86
599,All TVs,OLED TVs,10
600,All TVs,QLED LCD TVs,18
601,Samsung TVs,LED LCD TVs,7
602,Samsung TVs,QLED LCD TVs,18
603,Hisense TVs,LED LCD TVs,18
604,Hisense TVs,OLED TVs,2
605,Panasonic TVs,LED LCD TVs,7
606,Panasonic TVs,OLED TVs,1
607,Sony TVs,LED LCD TVs,15
608,Sony TVs,OLED TVs,1
609,LG TVs,LED LCD TVs,15
610,LG TVs,OLED TVs,6
